Date (UTC),Timestamp (UTC),<1.0%,1.0–1.5%,1.5–2.0%,2.0–2.5%,2.5–3.0%,3.0–3.5%,≥3.5%
12-26-2025 23:00,1766790000,0.115,0.23,0.345,0.14,0.18,0.185,0.195
12-27-2025 00:00,1766793600,0.115,0.225,0.345,0.18,0.185,0.185,0.195
12-27-2025 01:00,1766797200,0.115,0.225,0.29,0.255,0.225,0.185,0.195
12-27-2025 02:00,1766800800,0.115,0.225,0.275,0.255,0.22,0.185,0.195
12-27-2025 03:00,1766804400,0.13,0.225,0.285,0.225,0.22,0.185,0.195
12-27-2025 04:00,1766808000,0.115,0.225,0.315,0.22,0.21,0.185,0.195
12-27-2025 05:00,1766811600,0.13,0.225,0.33,0.205,0.19,0.185,0.195
12-27-2025 06:00,1766815200,0.13,0.225,0.32,0.19,0.185,0.185,0.195
12-27-2025 07:00,1766818800,0.125,0.225,0.35,0.18,0.175,0.185,0.195
12-27-2025 08:00,1766822400,0.115,0.225,0.32,0.215,0.17,0.185,0.195
12-27-2025 09:00,1766826000,0.105,0.325,0.26,0.23,0.21,0.185,0.195
12-27-2025 10:00,1766829600,0.11,0.325,0.22,0.21,0.19,0.185,0.195
12-27-2025 11:00,1766833200,0.11,0.41,0.23,0.25,0.19,0.185,0.195
12-27-2025 12:00,1766836800,0.095,0.36,0.29,0.205,0.175,0.185,0.195
12-27-2025 13:00,1766840400,0.095,0.36,0.275,0.16,0.195,0.185,0.195
12-27-2025 14:00,1766844000,0.095,0.36,0.245,0.145,0.16,0.185,0.195
12-27-2025 15:00,1766847600,0.1,0.38,0.21,0.235,0.17,0.185,0.195
12-27-2025 16:00,1766851200,0.095,0.345,0.235,0.135,0.125,0.175,0.19
12-27-2025 17:00,1766854800,0.095,0.325,0.225,0.125,0.095,0.155,0.185
12-27-2025 18:00,1766858400,0.09,0.34,0.24,0.12,0.125,0.155,0.175
12-27-2025 19:00,1766862000,0.09,0.36,0.26,0.12,0.12,0.155,0.175
12-27-2025 20:00,1766865600,0.09,0.355,0.27,0.125,0.105,0.155,0.175
12-27-2025 21:00,1766869200,0.095,0.35,0.245,0.115,0.115,0.155,0.175
12-27-2025 22:00,1766872800,0.095,0.345,0.25,0.125,0.12,0.155,0.165
12-27-2025 23:00,1766876400,0.115,0.355,0.24,0.125,0.1,0.155,0.165
12-28-2025 00:00,1766880000,0.105,0.365,0.245,0.11,0.11,0.155,0.165
12-28-2025 02:00,1766887200,0.07,0.295,0.175,0.125,0.13,0.155,0.165
12-28-2025 03:00,1766890800,0.07,0.3,0.2,0.125,0.13,0.155,0.165
12-28-2025 04:00,1766894400,0.09,0.285,0.2,0.125,0.13,0.155,0.165
12-28-2025 05:00,1766898000,0.08,0.27,0.19,0.15,0.175,0.155,0.165
12-28-2025 06:00,1766901600,0.065,0.26,0.195,0.145,0.16,0.155,0.165
12-28-2025 07:00,1766905200,0.065,0.27,0.185,0.16,0.16,0.155,0.165
12-28-2025 08:00,1766908800,0.065,0.27,0.18,0.16,0.16,0.155,0.165
12-28-2025 09:00,1766912400,0.075,0.245,0.18,0.16,0.155,0.155,0.155
12-28-2025 10:00,1766916000,0.075,0.255,0.18,0.155,0.15,0.155,0.155
