Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
03/02,2.63930298635922,2.5950430714881,2.83138008362755,2.8728905501245
03/03,2.80742502178519,2.5950430714881,2.93181989887243,2.8728905501245
03/04,2.61041016510457,2.5950430714881,2.81411887440313,2.8728905501245
03/05,2.61041016510457,2.5950430714881,2.81411887440313,2.8728905501245
03/06,2.61041016510457,2.5950430714881,2.81411887440313,2.8728905501245
03/09,2.61041016510457,2.5950430714881,2.81411887440313,2.8728905501245
03/10,2.61041016510457,2.5950430714881,2.81411887440313,2.8728905501245
03/11,2.86600464302245,2.59585211226647,2.95860510932882,2.8639878033444
03/12,2.86600464302245,2.59585211226647,2.95860510932882,2.8639878033444
03/13,2.86600464302245,2.59585211226647,3.04750144318784,2.97324997165564
03/16,2.86600464302245,2.59585211226647,3.04750144318784,2.97324997165564
03/17,2.86600464302245,2.59585211226647,3.04750144318784,2.97324997165564
03/18,3.02270993368894,2.59585211226647,3.14207599579643,2.97324997165564
03/19,3.02270993368894,2.59585211226647,3.14207599579643,2.97324997165564
03/20,3.02270993368894,2.59585211226647,3.14207599579643,2.97324997165564
03/23,3.02270993368894,2.59585211226647,3.14207599579643,2.97324997165564
03/24,3.16242613944502,2.59585211226647,3.2263973202096,2.97324997165564
03/25,3.16242613944502,2.59585211226647,3.2263973202096,2.97324997165564
03/26,3.16242613944502,2.59585211226647,3.2263973202096,2.97324997165564
03/27,3.16242613944502,2.59585211226647,3.2263973202096,2.97324997165564
03/30,3.16242613944502,2.59585211226647,3.2263973202096,2.97324997165564
03/31,3.25234150525464,2.59585211226647,3.28066291301705,2.97324997165564
04/01,3.25234150525464,2.59585211226647,3.28066291301705,2.97324997165564
04/02,3.25234150525464,2.59585211226647,3.28066291301705,2.97324997165564
04/03,3.25234150525464,2.59585211226647,3.28066291301705,2.97324997165564
04/06,3.25234150525464,2.59585211226647,3.28066291301705,2.97324997165564
04/07,3.25234150525464,2.59585211226647,3.28066291301705,2.97324997165564
04/08,3.25234150525464,2.59585211226647,3.28066291301705,2.97324997165564
04/09,3.25234150525464,2.59585211226647,3.42147814073466,3.11851664392213
04/10,,,3.38509977734525,3.10431783027332
04/13,,,3.38509977734525,3.10431783027332
04/14,,,3.38509977734525,3.10431783027332
04/15,,,3.38509977734525,3.10431783027332
04/16,,,3.38509977734525,3.10431783027332
04/17,,,3.38509977734525,3.10431783027332
04/20,,,3.38509977734525,3.10431783027332
04/21,,,3.38509977734525,3.10431783027332
04/22,,,3.38509977734525,3.10431783027332
04/23,,,3.38509977734525,3.10431783027332
04/24,,,3.38509977734525,3.10431783027332
